Voxel_X,Voxel_Y,Voxel_Z,Uniformity_Value
0.0,22.0,36.0,3.6534850308353284
2.0,22.0,38.0,3.6534850308353284
2.0,22.0,28.0,3.6534850308353284
2.0,22.0,-14.0,3.6534850308353284
4.0,22.0,30.0,3.6534850308353284
-2.0,22.0,-12.0,3.6534850308353284
-46.0,20.0,8.0,3.6534850308353284
-12.0,22.0,40.0,3.6534850308353284
-26.0,22.0,0.0,3.6534850308353284
-40.0,22.0,10.0,3.6534850308353284
-40.0,22.0,-12.0,3.6534850308353284
-38.0,22.0,-16.0,3.6534850308353284
-36.0,22.0,10.0,3.6534850308353284
-36.0,22.0,-14.0,3.6534850308353284
-36.0,22.0,-16.0,3.6534850308353284
-26.0,22.0,-2.0,3.6534850308353284
-34.0,22.0,10.0,3.6534850308353284
-32.0,22.0,10.0,3.6534850308353284
-32.0,22.0,-14.0,3.6534850308353284
-30.0,22.0,-10.0,3.6534850308353284
-28.0,22.0,8.0,3.6534850308353284
-28.0,22.0,6.0,3.6534850308353284
-28.0,22.0,-10.0,3.6534850308353284
-34.0,22.0,-18.0,3.6534850308353284
-42.0,18.0,12.0,3.6534850308353284
-46.0,20.0,2.0,3.6534850308353284
-42.0,20.0,32.0,3.6534850308353284
-52.0,18.0,18.0,3.6534850308353284
-52.0,18.0,20.0,3.6534850308353284
54.0,20.0,30.0,3.6534850308353284
54.0,20.0,32.0,3.6534850308353284
54.0,20.0,36.0,3.6534850308353284
52.0,20.0,12.0,3.6534850308353284
52.0,20.0,14.0,3.6534850308353284
52.0,20.0,16.0,3.6534850308353284
50.0,20.0,-10.0,3.6534850308353284
50.0,20.0,-8.0,3.6534850308353284
50.0,20.0,14.0,3.6534850308353284
50.0,20.0,16.0,3.6534850308353284
48.0,20.0,-4.0,3.6534850308353284
48.0,20.0,12.0,3.6534850308353284
48.0,20.0,14.0,3.6534850308353284
48.0,20.0,16.0,3.6534850308353284
48.0,20.0,28.0,3.6534850308353284
26.0,20.0,2.0,3.6534850308353284
26.0,20.0,-2.0,3.6534850308353284
26.0,20.0,-4.0,3.6534850308353284
28.0,20.0,-8.0,3.6534850308353284
34.0,20.0,10.0,3.6534850308353284
44.0,20.0,24.0,3.6534850308353284
-52.0,18.0,16.0,3.6534850308353284
44.0,20.0,14.0,3.6534850308353284
46.0,20.0,36.0,3.6534850308353284
46.0,20.0,32.0,3.6534850308353284
46.0,20.0,28.0,3.6534850308353284
46.0,20.0,24.0,3.6534850308353284
46.0,20.0,12.0,3.6534850308353284
46.0,20.0,-12.0,3.6534850308353284
44.0,20.0,0.0,3.6534850308353284
26.0,20.0,4.0,3.6534850308353284
-52.0,18.0,4.0,3.6534850308353284
-50.0,18.0,30.0,3.6534850308353284
-42.0,18.0,26.0,3.6534850308353284
-42.0,18.0,28.0,3.6534850308353284
-42.0,18.0,36.0,3.6534850308353284
-42.0,18.0,38.0,3.6534850308353284
-44.0,18.0,-8.0,3.6534850308353284
-44.0,18.0,-2.0,3.6534850308353284
-44.0,18.0,26.0,3.6534850308353284
-44.0,18.0,28.0,3.6534850308353284
-44.0,18.0,34.0,3.6534850308353284
-46.0,18.0,-10.0,3.6534850308353284
-46.0,18.0,2.0,3.6534850308353284
-46.0,18.0,8.0,3.6534850308353284
-46.0,18.0,18.0,3.6534850308353284
-46.0,18.0,20.0,3.6534850308353284
-46.0,18.0,28.0,3.6534850308353284
-46.0,18.0,34.0,3.6534850308353284
-48.0,18.0,-8.0,3.6534850308353284
-50.0,18.0,28.0,3.6534850308353284
-50.0,18.0,26.0,3.6534850308353284
-50.0,18.0,24.0,3.6534850308353284
-50.0,18.0,18.0,3.6534850308353284
-50.0,18.0,16.0,3.6534850308353284
-50.0,18.0,2.0,3.6534850308353284
-50.0,18.0,32.0,3.6534850308353284
-50.0,18.0,0.0,3.6534850308353284
-48.0,18.0,32.0,3.6534850308353284
-48.0,18.0,16.0,3.6534850308353284
-48.0,18.0,10.0,3.6534850308353284
-48.0,18.0,8.0,3.6534850308353284
-48.0,18.0,-4.0,3.6534850308353284
-48.0,18.0,-6.0,3.6534850308353284
-50.0,18.0,-2.0,3.6534850308353284
20.0,20.0,6.0,3.6534850308353284
18.0,20.0,6.0,3.6534850308353284
16.0,20.0,6.0,3.6534850308353284
-28.0,20.0,-2.0,3.6534850308353284
-28.0,20.0,2.0,3.6534850308353284
-28.0,20.0,6.0,3.6534850308353284
-28.0,20.0,8.0,3.6534850308353284
-30.0,20.0,2.0,3.6534850308353284
-30.0,20.0,4.0,3.6534850308353284
-30.0,20.0,6.0,3.6534850308353284
-30.0,20.0,8.0,3.6534850308353284
-34.0,20.0,-18.0,3.6534850308353284
-34.0,20.0,-16.0,3.6534850308353284
-34.0,20.0,-14.0,3.6534850308353284
-34.0,20.0,-10.0,3.6534850308353284
-36.0,20.0,-16.0,3.6534850308353284
-36.0,20.0,-14.0,3.6534850308353284
-36.0,20.0,-10.0,3.6534850308353284
-36.0,20.0,10.0,3.6534850308353284
-38.0,20.0,-12.0,3.6534850308353284
-42.0,20.0,30.0,3.6534850308353284
-42.0,20.0,28.0,3.6534850308353284
-42.0,20.0,12.0,3.6534850308353284
-42.0,20.0,4.0,3.6534850308353284
-42.0,20.0,-2.0,3.6534850308353284
-42.0,20.0,-10.0,3.6534850308353284
-28.0,20.0,-10.0,3.6534850308353284
-42.0,20.0,-12.0,3.6534850308353284
-40.0,20.0,8.0,3.6534850308353284
-40.0,20.0,6.0,3.6534850308353284
-40.0,20.0,4.0,3.6534850308353284
-40.0,20.0,-10.0,3.6534850308353284
-38.0,20.0,10.0,3.6534850308353284
-38.0,20.0,4.0,3.6534850308353284
-40.0,20.0,10.0,3.6534850308353284
-28.0,20.0,-12.0,3.6534850308353284
-26.0,20.0,56.0,3.6534850308353284
-26.0,20.0,52.0,3.6534850308353284
4.0,20.0,-12.0,3.6534850308353284
6.0,20.0,28.0,3.6534850308353284
6.0,20.0,-8.0,3.6534850308353284
8.0,20.0,44.0,3.6534850308353284
8.0,20.0,28.0,3.6534850308353284
